"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"1";"the first war of";"model is available .";"7.986789"
"2";"indian independence ( 1857 )";"the indian government is now in the hands of the indian government .";"3.089055"
"3";"";"";"100.000000"
"4";"we learn about the following in this chapter :";"this is the end of the video .";"5.795600"
"5";"";"";"100.000000"
"6";"• causes for the first war of independence";"the first is the sankrama k karna guru .";"9.535414"
"7";"• immediate causes for the revolt";"thank you for your attention .";"8.116698"
"8";"• spread of the revolt and its nature";"thank you for watching madhya adaraswarupa .";"2.846513"
"9";"• failure of the revolt and its effects";"thank you for watching .";"2.931251"
"10";"";"";"100.000000"
"11";"with the objective of expanding their rule in india , the british had brought into force the doctrine of subsidiary alliance and doctrine of lapse .";"the british government has been in the position to address the situation . the next day , the alliance will be appointed as the doctorate of the doctorate .";"4.457305"
"12";"many provinces came into the control of the british because of these rules .";"and the british people who are living in the same world .";"6.817984"
"13";"as a result , indians were upset .";"here , the indian language is called kangala .";"5.669791"
"14";"they were dissatisfied with the british administration too .";"the first is the british - american city .";"10.552670"
"15";"this dissatisfaction surfaced as a major revolt in 1857.";"this is the place where the people of the village are located .";"3.089055"
"16";"while some indians called this ‘ the first war of independence ’, british historians called it as ‘ the sepoy mutiny ’.";"the indian people are the ones who are the most popular in the world . british indian people are the ones who are the most popular in the world .";"1.633898"
"17";"";"";"100.000000"
"18";"causes for the first war of independence :";"the first is the sankramakhi karna .";"11.386051"
"19";"";"";"100.000000"
"20";"political causes : many kingdoms lost their do you know this :";"the king ' s decision was to take the throne and take the throne .";"1.313981"
"21";"rights due to the promulgation of doctrine of lapse brought about by the british .";"dr . goshanaya karanadindagi hakkugulu , british arun panwar";"2.910968"
"22";"satara , jaipur , jhansi , udaipur and other kingdoms came under british control . dalhousie cancelled the princely titles of the nawabs of tanjore and carnatic kingdoms .";"the state of jai pura , chanci , uday pura , and the british state of the east .";"3.576866"
"23";"the moghul sultans , the nawab of oudh and other kings were stripped of their kingly status .";"the sultan ' s model is the leader of the state of the nation .";"3.217382"
"24";"consequently , lakhs of soldiers who were dependent on these kings , became unemployed .";"the government is not allowed";"0.722838"
"25";"this became a strong cause for the protest of 1857 against the british .";"this is the first time that the first time is seen , and the second time is the third time in the world .";"2.224973"
"26";"";"";"100.000000"
"27";"d o c t r i n e o f l a p s e :";"d.o.c.t.r.i.n.e.of - lepsi";"0.296466"
"28";"doctrine of lapse : this policy was established by lord dalhousie during british rule .";"dr . anastapisala , who is a doctor of labs , is now in the british alps .";"2.826521"
"29";"according to this policy , an indian king could not transfer his kingdom to his adopted children in the absence of natural heirs .";"the king of the ubbhabharati and the king of tannanu";"1.361807"
"30";"thus , his kingdom came naturally under british rule .";"the king of higagi is the british alvi kali who is the leader of swabhavi kavagi .";"2.719665"
"31";"";"";"100.000000"
"32";"economic causes : due to the industrial revolution in england , indian handicrafts and cottage industries suffered heavily .";"the indian government has been in the position to support the indian government for the last 20 years .";"3.027253"
"33";"england , instead of being a trading country , became a hub of industries .";"the country of england is the country of the country .";"3.895749"
"34";"the indian craftsmen became unemployed .";"i wish you all the best .";"7.809850"
"35";"primarily , the textile and wool industries became sick and people lost their jobs .";"the first person who is born in the world is the one who is born in the world .";"2.407486"
"36";"the cottage industries too suffered a death blow .";"the people of gudi are very happy and happy .";"4.990050"
"37";"the british imposed a heavy tax on sale of indian goods in england .";"british are the most important in india , india and india .";"4.053998"
"38";"because of the zamindari system , the landlords , acting as commission agents between the government and the farmers , exploited the farmers .";"the jamin dari is the head of the jamin dari community , the head of the government , the commission agent and the head of the social media .";"5.695928"
"39";"the right given to the taluks to collect tax was withdrawn .";"the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way , the same way ,";"0.188968"
"40";"an ‘ inam commission ’ was appointed and all the gifted lands ( ‘ inam lands ’ ) were taken back .";"this is the commission of the indian government . this is the commission of the indian government .";"2.263301"
"41";"due to this , the farmers felt insulted and experienced many financial problems .";"this is the right way to make the people understand and understand the meaning of the people .";"3.211547"
"42";"this too led to the revolt of farmers against the government .";"the next day , the british will be able to see the criminal who is in the position of the british .";"2.582802"
"43";"";"";"100.000000"
"44";"administrative causes : the british brought into force new civil and criminal laws .";"this is the reason why the government has to see this .";"3.408992"
"45";"these were applicable only to indians .";"this is bharti yari ' s mother anwaisu tiddau .";"4.196115"
"46";"english became the language of the courts .";"english is written in english";"5.862502"
"47";"most of the time the british judges favoured the british .";"the time of the festival is now over .";"11.417530"
"48";"the new rules were not understood by the common people .";"we cannot forget the happiness of the society .";"5.024351"
