"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"1";"the freedom struggle";"swatantratasandran";"11.380295"
"2";"";"";"100.000000"
"3";"we learn about the following in this chapter :";"we learn about the information in this information .";"35.494811"
"4";"";"";"100.000000"
"5";"indian national congress";"dhartiya rashthyaya congress";"37.991784"
"6";"• moderates , extremists and revolutionaries";"narampanti , ugrvadi and kranti kari .";"7.809850"
"7";"• non - cooperation movement , civil disobedience movement , quit india movement";"as a sariyog and dolan , savinayavagya and dolan , bharatchoro and dolan .";"3.377156"
"8";"• farmers ’ and workers ’ protests";"kisan and masduro ' s virod .";"6.567275"
"9";"• subhash chandra bose , dr.b.r.ambedkar , jawaharlal nehru and mohammad ali jinnah";"subhash chandra bose , dobbi r . ambedkar , jawahar lal nehru and muhammad ali jinnah .";"19.923406"
"10";"• partition of india";"bharat ' s vibhagen .";"5.341088"
"11";"";"";"100.000000"
"12";"there were many instances of protest against the establishment of british rule in india .";"british shastra was many of the victims of this disaster .";"4.077428"
"13";"the wars fought by many kings against the british were all in their own self - interest .";"many kings played the role of the british .";"5.490133"
"14";"after the first war of independence in 1857 , many changes and effective reforms were brought improvements in transport and communication , journalism , establishment of organizations , and changes in administration saw people getting engaged in huge numbers in many provinces .";"after the first visit of the svatantrata kingdom , many changes and progress in the 1870 s and the world of the world and the world of the world and the changes in the history of the world have been seen in many lives .";"9.995887"
"15";"lord lytton brought in ‘ domestic papers control act ’ in 1878 to exercise control over the indian publications , and lord rippon brought in ‘ ilbert bill ’ to bring in uniformity in the judicial system .";"the lard litan laya - gharelu aga ' s neantran adhiniyam was released in 1888 by india and lard ripan for the neantran ' s to be released in a new area .";"1.569967"
"16";"certain organizations tried to protest against this in europe and were successful .";"some of the british have tried to save it in europe and are suffering .";"12.874331"
"17";"";"";"100.000000"
"18";"the freedom struggle assumed a specific direction as a result of protests all over the country .";"the entire country of the world has been a unique country of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world of the world";"0.237615"
"19";"to avoid armed struggle , the british adopted certain strategies . consequently , the british government declared the supremacy of the queen in 1858 , and announced that indians were british citizens .";"the british had no intention of saving the british from the war . the british government had a british army of 1888 in the british army .";"6.474201"
"20";"through this step , the british government declared provision of better amenities to indians . in the subsequent developments , the aristocratic new generation who learnt english , started fighting for their rights in a constitutional manner .";"the british government has provided better information about the situation . in the last few decades , the new pd who has learned english and started to discuss the situation for his officials .";"8.185645"
"21";"this led to the establishment of indian national congress";"the congress was not accepted by the congress .";"5.669791"
"22";"";"";"100.000000"
"23";"indian national congress";"bharatiya rastriya congress";"37.991784"
"24";"";"";"100.000000"
"25";"right from the time of raja ram mohan roy , the minds of middle class people of india were getting prepared to face new challenges .";"the people of india were preparing to face the new challenges of the time of the king ' s reign .";"16.763494"
"26";"towards this end , many organizations were established throughout the country . among them , ‘ the hindu mela ’, ‘ the east india association ’, ‘ poona sarvajanik sabha ’ and ‘ the indian association ’ were prominent .";"many of the countries were in danger . among them , the hindu meela , the east india association , pune sarvajanik sabha and the indian association were promised .";"17.231797"
