"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"1";"the freedom struggle";"swatandretasan draan .";"22.590050"
"2";"";"";"100.000000"
"3";"we learn about the following in this chapter :";"we see the difference between the two .";"5.795600"
"4";"";"";"100.000000"
"5";"indian national congress";"bharatiya rastriya congress";"37.991784"
"6";"• moderates , extremists and revolutionaries";"narampanti ugrwadi and kranti kari .";"8.116698"
"7";"• non - cooperation movement , civil disobedience movement , quit india movement";"asahi yog andolan savi naya avagya andolan bharat choro andolan";"1.554279"
"8";"• farmers ’ and workers ’ protests";"about to be turned on and the movement of the movement of the movement .";"2.627962"
"9";"• subhash chandra bose , dr.b.r.ambedkar , jawaharlal nehru and mohammad ali jinnah";"subhash chandrabos , dhabi r . ambedkar , jawahar lal nehru and mohammad alijina .";"11.633271"
"10";"• partition of india";"bharat ' s vibhajan";"7.986789"
"11";"";"";"100.000000"
"12";"there were many instances of protest against the establishment of british rule in india .";"the only reason for this was the only time in india in india .";"10.576273"
"13";"the wars fought by many kings against the british were all in their own self - interest .";"many people were in their own way .";"7.003940"
"14";"after the first war of independence in 1857 , many changes and effective reforms were brought improvements in transport and communication , journalism , establishment of organizations , and changes in administration saw people getting engaged in huge numbers in many provinces .";"after the death of the svatantrata sangram , a khazar was born in 800 - 700 years old and the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord of the lord";"0.450900"
